title,author,subject,pages,issue,university,abstract,file
Beginner's Topology,"Jones, F. Burton",topology,66,4,University of California at Riverside,"This guide contains the essentials of the author's course in topology of undergraduates, mostly from the first two years of college. Much of it is suitable for high school students, especially those who are willing to think and experiment. Mainly the course concerns the topology of the real line. To reduce the use of arithmetic (and algebra) to a purely descriptive role, a concrete space is constructed in which points are maps from natural numbers to the natural numbers, i.e., sequences of positive integers. The lexicographic order is defined and the space of all such functions is given the order topology. All this is done slowly, introducing the student gradually to certain types of infinite processes.",beginners-topology_jones
"Convex Hull of a Set of Vectors, The","Amir-Moéz, Ali R.; Fredricks, Gregory A.",geometry,28,10,Texas Tech University,"The convex hull of a set of vectors has many interesting properties in Euclidean and unitary spaces. In this guide, we demonstrate the use of vector algebra in studying higher dimensional analogues of familiar properties of triangles in the plane. Each topic is presented in the plane; in finite dimensional Euclidean spaces; in unitary spaces; and in spaces of linear transformations. Many of Euclid's ideas are used to prove results concerning triangles.",convex-hull_amir-moez_fredricks
Elements of Geometry in Unitary Spaces,"Amir-Moéz, Ali R.",geometry,42,07,Texas Tech University,"The study of unitary spaces through generalizations of geometrical configurations gives insight to understanding of many concepts in linear spaces and linear algebra. This guide has been prepared for two essential purposes. First, to give a feeling for the meanings of ideas and concepts. Second, to show how one may generalize an idea which may turn into an interesting research problem. The reader is expected to have had an elementary course in linear algebra and linear spaces.",elements-of-geometry-in-unitary-spaces_amir-moez
Exploratory Problems in Mathematics,"Stevenson, Fred",uncategorized,14,09,University of Arizona,"This guide is intended to introduce to the reader the concept of exploratory problems in mathematics. As the name suggests, an exploratory problem is a problem that is designed to encourage exploration, independence, individuality, and imagination. Our concern here is not so much to challenge the gifted student, but rather to involve the average student; to instill a feeling of confidence and lead them on an odyssey in mathematical thinking. These exploratory problems are part of a series of problems that the author and Shmuel Avital have experimented with in classrooms.",exploratory-problems-in-mathematics_stevenson
Geometry In Practice and Numbers In Theory,"Hilton, Peter; Pedersen, Jean",geometry,41,16,State University of New York at Binghamton (PH) and Santa Clara University (JP),"The authors have for some years been studying the number theory which arises from a certain paper-folding algorithm. The work originated when one of the authors (JP) became involved in a local campaign in Northern California to reinvigorate the teaching of geometry. The plan which she conceived was to demonstrate a systematic procedure for folding paper strips to construct arbitrarily good approximations to certain regular convex polygons, and also to use the folded straight strips to construct interesting polyhedra. The campaign flourished -- and the mathematics became increasingly intriguing. This guide discusses the algorithms to construct star polygons, and generalizations.",geometry-in-practice-and-numbers-in-theory_hilton_pedersen
Graph Theory,"Lewinter, Martin",graph theory,34,13,State University of New York at Purchase,"Graph theory has assumed an increasingly important position in twentieth-century mathematics, due in large part to the birth of the computer and the advent of fields such as operations research. This guide is intended to introduce the reader to elementary graph theory in a way which indicates the author's (hopefully contagious) enthusiasm and which gives the reader a good foundation in the basics, and to point the interested student in various research directions. The undergraduate student (and instructor) will be delighted to discover that research in graph theory is quite possible after familiarization with the basic concepts and technique, almost all of which are within the grasp of such a student.",graph-theory_lewinter
Graph Theory II,"Lewinter, Martin",graph theory,28,18,State University of New York at Purchase,"This guide was written to provide material for undergraduate research in graph theory. It is a sequel to the author's first graph theory guide. Topics include spanning trees, product graphs, and distance properties of graphs.",graph-theory-2_lewinter
Introduction to Point Set Topology via Linearly Ordered Spaces,"Boyd, J. R.; Gordh Jr., G. Rudy",topology,63,03,Guilford College,"Mathematically speaking, the primary purpose of this guide is to outline a topological characterization of the real number line among all linearly ordered spaces. Pedagogically speaking, its primary purpose is to actively involve the student in doing, rather than watching, mathematics. This guide is also intended (1) to introduce the student to the axiomatic and deductive character of mathematics, (2) to help the student develop his/her critical reasoning ability, (3) to provide the student with an understanding of the real number line, and (4) to introduce the student to important concepts of topology and analysis.",point-set-topology_boyd_gordh
Introduction to Topology,"Messer, Robert",topology,25,08,Vanderbilt University,"The introductory course in topology is especially well-suited for the Moore method of instruction, since there is an abundance of examples and results that are interesting yet are provable by fairly straightforward techniques. This series of notes, supplemented by material presented in class, is intended to contain all the facts needed to solve these theorems. There seems to be more than enough material in these notes for a one-semester course for students with some familiarity with set theory. Topics include topological spaces and continuous functions, induced structures and coinduced structures, Hausdorff spaces, compact spaces, connected spaces, normal spaces, and metric spaces.",topology-intro_messer
Modeling Expanding Universes in Euclidean Spaces,"Lea, Suzanne M.; Posey, E. E.; Vaughan, Jerry E.",uncategorized,22,20,University of North Carolina at Greensboro,"The purpose of this monograph is to introduce, at the undergraduate level, Euclidean n-space, and briefly its infinite-dimensional version, using topics in physics as motivation and background. The physics we use is especially concerned with 4-dimensional models of spacetime, and we discuss several 3-dimensional manifolds, including 3-spheres, 3-tori, and 3-hyperboloids. We hope the reader will gain enhanced intuition into the Euclidean and analytical geometry of such figures. The material in this monograph can be used to supplement courses which cover calculus in dimensions 2 and 3.",modeling-expanding-universes_lea_posey_vaughan
On Freely Acting Groups,"Fay, Temple H.",topology,13,02,Hendrix College,"The purpose of the monograph is to introduce the undergraduate reader to the notions of free semi-group, free group, free product, and the corresponding topological counterparts, in a relatively quick, easy, and apparently new fashion. Very little algebra background is required for understanding this paper; only a basic familiarity with groups, congruences, and quotients is necessary. The topological aspects are also elementary. Much of what is done can be easily constructed, although less easily explained, through the use of category theory. In particular, the notions of adjoint functor and reflective hull are basic to what is done.",freely-acting-groups_fay
Orthogonal Groups,"Amir-Moéz, Ali R.",topology,7,19,Texas Tech University,"In a two-dimensional Euclidean space, the set of rotations about the origin is a commutative group under multiplication. This is easily proved through their matrices. One may observe that an orthogonal transformation A on an n-dimensional Euclidean space is a rotation if det A = 1. We shall study these rotations and suggest some problems.",orthogonal-groups_amir-moez
Problems in Classical Differential Geometry,"Lewinter, Martin",geometry,77,14,State University of New York at Purchase,"This guide was written with the objective of generating enthusiasm among undergraduates in classical differential geometry, which is chiefly concerned with curves and surfaces in R^3. This kind of differential geometry is highly visual and doesn't require more than a good course in advanced calculus. It contains the seeds of modern differential geometry, while retaining much of the original flavor of the past two centuries.",problems-in-classical-differential-geometry_lewinter
Quadratic Forms and Orthogonal Vectors,"Amir-Moéz, Ali R.",topology,15,17,Texas Tech University,Properties of quadratic forms are extremely useful in both pure and applied mathematics. Many of the concepts involved in the study of the quadratic forms do not appear at the undergraduate level; so we would like to study the simplest cases and apply the results to some geometrical properties of conics suggesting many generalizations as undergraduate research.,quadratic-forms-and-orthogonal-vectors_amir-moez
Real Analysis,"Parker, Elwood G.",foundations/analysis,28,11,Guilford College,"Analysis can be considered the study of functions between sets, where the sets have topological and algebraic structures. In this guide, the primary subject is Real Analysis, so the sets used are subsets of the real numbers; generalizations of this context are included. Three kinds of structure are assumed for the real numbers, giving the topology and algebra: metric structure, order structure, and algebraic field structure.",real-analysis_parkereg
Spaces of Functions and Sets,"Sher, R. B.",uncategorized,59,01,"Sher, R. B.","The underlying theme of this guide is that structures (topological in this case) on sets can lead to structures on certain associated sets (e.g. sets of functions, subsets, etc.), that this can often be done in many ways, and that what results is sometimes of great interest. For those who have not been introduced to basic topology, or whose preparation has been inadequate, an introduction to general topology is included. This guide could be used as supplementary reading for a class, as a directed study project, as a guide for an undergraduate research project, or in a seminar. In addition, it is suitable as the basis for an introductory topology course taught along the lines of the Moore method.",spaces-of-functions-and-sets_sher
Spheres of Linear Transformations and Matrices,"Amir-Moéz, Ali R.; Byerly, Robert E.",matrices,11,15,Texas Tech University,"Many characterizations of circles have been given synthetically and analytically. A vector approach to this study is quite powerful, and can be generalized to the space of linear transformations on a unitary space. We shall study a few samples, and suggest some problems for undergraduate research in mathematics.",spheres-of-linear-transformations_amir-moez_byerly
Voting Made Easy: A Mathematical Theory of Election Procedures,"Lum, Lewis; Kurtz, David C.",uncategorized,21,05,Salem College in North Carolina,"This guide investigates some ``classical'' results in social choice theory; i.e., Arrow's theorem and variations of it. No previous exposure to the theory is assumed, and very little mathematical knowledge is required. We hope that economists and political scientists as well as mathematicians will find something of interest here. For the economists and political scientist, we have some simple proofs of variations of Arrow's theorem, and a unified notation that seems to be lacking in the literature. For the mathematician, we have some perhaps unfamiliar and surprising results about voting. We hope readers will find this monograph suitable for use in an undergraduate seminar or independent study.",voting-made-easy_kurtz_lum
Well-Ordered Sequences,"Ball, B. J.",uncategorized,14,06,University of Georgia,"The purpose of this guide is to give an unsophisticated treatment of some of the properties of well-ordered sequences; this could serve as a basis for a more detailed and abstract study of ordinal numbers and their arithmetic, or for the beginnings of a foundational study. The treatment given here resembles that presented by R. L. Moore in the author's first graduate mathematics course. All of the ideas should be easily understood by a good undergraduate student.",well-ordered-sequences_ball